Custom Header,Queried Domain,Resolved IP Address
19314800,_apple-mobdev._tcp.local,192.168.1.6
19314801,_apple-mobdev._tcp.local,192.168.1.7
19314802,twitter.com,192.168.1.8
19314803,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.9
19314804,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.10
19314805,example.com,192.168.1.6
19314806,netflix.com,192.168.1.7
19314807,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.8
19314808,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.9
19314809,linkedin.com,192.168.1.10
19314810,_apple-mobdev._tcp.local,192.168.1.6
19314811,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.7
19314812,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.8
19314813,reddit.com,192.168.1.9
19314814,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.10
19314815,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.6
19314816,_apple-mobdev._tcp.local,192.168.1.7
19314817,_apple-mobdev._tcp.local,192.168.1.8
19314818,openai.com,192.168.1.9
19314819,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.10
19314820,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.6
19314821,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.7
19314822,Brother MFC-7860DW._pdl-datastream._tcp.local,192.168.1.8
